,energy,energy_std,trace_width,trace_width_std,trace_max,trace_max_std,trace_avg,trace_avg_std,trace_peaks,trace_peaks_std,track_length,track_length_std,track_width,track_width_std,num_pads,num_pads_std,track_peaks,track_peaks_std,max_pad,max_pad_std,min_pad,min_pad_std,avg_pad,avg_pad_std,event_length,event_length_std,num_peaks,num_peaks_std
E0,1.0,1.0,1.3,1.4,1.1,1.1,0.8,1.1,1.4,1.2,1.0,1.4,0.6,1.0,1.0,1.4,0.8,0.7,1.3,1.4,1.5,1.5,1.3,1.5,1.1,1.4,0.9,1.0
E1,1.2,1.2,0.7,1.0,1.1,0.8,1.2,1.2,0.9,1.0,0.7,0.6,0.9,0.9,0.7,0.9,1.1,1.4,1.2,1.0,1.6,1.4,1.0,1.2,0.7,0.9,1.0,1.4
CD,0,-9.9,0.0,-1.6,0.1,-0.2,0,-4.1,-0.3,0.5,-0.1,-2.5,-9.9,1.1,-9.9,-9.9,0.5,1.7,1.7,1.9,3.3,3.5,2.3,2.6,0.0,1.5,0.3,1.8
CDH,0,0.4,-1.0,0.5,-1.6,-0.5,-1.1,-0.4,-0.8,-9.9,-10.0,0.9,-10.0,2.5,0.8,0.8,0.6,-9.9,1.0,0.9,1.5,1.6,1.1,1.2,-0.3,1.8,0.1,-9.9
Threshold,-10.0,0.4,0.7,0.5,0.7,0.5,0.7,0.6,0.7,0.9,0.7,0.5,0.8,0.8,0.8,0.9,0.7,0.8,1.1,1.1,1.5,1.6,1.3,1.4,0.6,0.6,0.7,0.9
EIonize,0.4,1.1,0.8,1.1,1.1,0.7,0.9,1.0,-10.0,0.7,0.6,0.6,0.7,0.7,0.8,0.8,1.1,1.5,1.5,0.7,1.4,1.5,1.2,1.3,0.4,0.9,1.0,1.3
Fano,5.3,4.2,3.7,-0.2,-0.1,-0.4,-0.1,-0.3,3.9,1.3,4.6,2.3,5.9,-0.5,-0.1,0.9,4.9,-0.7,2.4,1.9,-10.0,1.4,1.9,1.8,2.8,-0.4,-0.1,1.7
CoefL,1.6,1.1,1.4,1.3,1.3,1.0,1.4,1.1,1.4,0.8,1.3,1.2,1.3,1.2,1.3,1.3,1.2,1.1,1.3,1.2,1.0,0.8,1.1,0.9,1.5,0.9,1.0,1.1
CoefT,1.4,1.5,1.6,1.5,1.5,1.6,1.6,1.4,1.3,1.2,1.4,0.9,1.3,1.2,1.3,1.0,1.3,1.3,0.8,1.3,0.7,0.6,1.0,0.9,1.7,0.9,1.6,1.2
Gain,0.5,0.8,1.0,0.9,1.0,1.1,1.0,0.9,0.6,1.0,0.7,0.8,0.7,1.0,0.8,0.9,0.7,0.8,1.2,1.3,1.3,1.4,1.2,1.3,0.7,1.1,0.8,0.9
GETGain,0.6,0.6,0.9,0.6,1.0,0.7,1.0,0.6,0.9,0.8,1.1,0.9,1.2,1.0,1.2,1.1,0.9,1.3,1.4,1.5,1.6,1.4,1.6,1.7,0.9,0.8,0.9,1.4
PeakingTime,0.3,1.1,1.0,0.8,1.0,1.1,1.0,1.1,1.3,1.1,0.7,0.9,0.7,1.0,0.8,1.1,0.7,0.9,1.0,0.9,1.2,1.3,1.1,0.4,0.9,0.9,0.8,1.0
