Sim,Status,E0,P0,E1,P1,N,Seed,Score,Threshold
15T,4,1682,p,0.001,a,5000,2,-1,15
30T,4,1682,p,0.001,a,5000,2,-1,30
45T,4,1682,p,0.001,a,5000,2,-1,45
50T,4,1682,p,0.001,a,5000,2,-1,50
55T,4,1682,p,0.001,a,5000,2,-1,55
60T,4,1682,p,0.001,a,5000,2,-1,60
65T,4,1682,p,0.001,a,5000,2,-1,65
70T,4,1682,p,0.001,a,5000,2,-1,70
75T,4,1682,p,0.001,a,5000,2,-1,75
80T,4,1682,p,0.001,a,5000,2,-1,80
85T,4,1682,p,0.001,a,5000,2,-1,85
90T,4,1682,p,0.001,a,5000,2,-1,90
95T,4,1682,p,0.001,a,5000,2,-1,95
100T,2,1682,p,0.001,a,5000,2,-1,100
105T,0,1682,p,0.001,a,5000,2,-1,105
110T,0,1682,p,0.001,a,5000,2,-1,110
115T,0,1682,p,0.001,a,5000,2,-1,115
120T,0,1682,p,0.001,a,5000,2,-1,120
125T,0,1682,p,0.001,a,5000,2,-1,125
130T,0,1682,p,0.001,a,5000,2,-1,130
135T,0,1682,p,0.001,a,5000,2,-1,135
140T,0,1682,p,0.001,a,5000,2,-1,140
145T,0,1682,p,0.001,a,5000,2,-1,145
150T,0,1682,p,0.001,a,5000,2,-1,150
165T,0,1682,p,0.001,a,5000,2,-1,165
180T,0,1682,p,0.001,a,5000,2,-1,180
195T,0,1682,p,0.001,a,5000,2,-1,195
210T,0,1682,p,0.001,a,5000,2,-1,210
